model,params,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,timestamp
RandomForest,default,0.8467,0.0581,0.8171,0.074,2026-04-28T15:53:40.148017
GradientBoosting,default,0.84,0.0712,0.8153,0.0817,2026-04-28T15:53:47.473199
LogisticRegression,default,0.8467,0.0777,0.8337,0.0807,2026-04-28T15:53:47.785778
RandomForest_tuned,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 300, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",0.8533,0.0618,0.8227,0.0755,2026-04-28T15:54:23.001511
